key,volume,kd,yearly,verdict,color,our_pos,holder_class,holder,holder_langs,holder_desc,holder_users,cards_checked,note
brown noise,90500,,,free,🟢,—,,,,,,10,"держателей 0 · кандидатов 10 · MID: FocusRoom — New Tab Lo-Fi, Rai"
cute timer,2400,,,free,🟢,10,,,,,,10,держателей 0 · кандидатов 10
visual timer adhd,1900,,,free,🟢,5,,,,,,10,держателей 0 · кандидатов 10
brown noise generator,1000,,,free,🟢,—,,,,,,9,держателей 0 · кандидатов 9
brown noise app,880,,,free,🟢,—,,,,,,3,держателей 0 · кандидатов 3
calm timer,590,,,free,🟢,3,,,,,,10,держателей 0 · кандидатов 10
desktop timer,590,,,free,🟢,—,,,,,,10,держателей 0 · кандидатов 10
clean timer,480,,,free,🟢,2,,,,,,10,держателей 0 · кандидатов 10
concentration timer,390,,,free,🟢,9,,,,,,10,держателей 0 · кандидатов 10
calm focus,260,,,free,🟢,—,,,,,,9,держателей 0 · кандидатов 9 · MID: Breathing Timer — Calm & Focus
adhd timer for adults,90,,,free,🟢,7,,,,,,10,держателей 0 · кандидатов 10
gentle timer,70,,,free,🟢,1,,,,,,10,держателей 0 · кандидатов 10
brown noise timer,10,,,free,🟢,1,,,,,,10,держателей 0 · кандидатов 10
quiet timer,260,2,кв.-57,free,🟢,1,,,,,,10,держателей 0 · кандидатов 10
soft timer,30,35,-50,free,🟢,3,,,,,,10,держателей 0 · кандидатов 10
ambient timer,10,,,free,🟢,—,,,,,,10,держателей 0 · кандидатов 10
sound timer,1000,23,-18,free,🟢,8,,,,,,10,держателей 0 · кандидатов 10
cozy timer,480,23,+52,free,🟢,—,,,,,,10,держателей 0 · кандидатов 10
minimal timer,720,12,+171,free,🟢,2,,,,,,10,держателей 0 · кандидатов 10
silent timer,1000,,кв.-28,free,🟢,5,,,,,,10,держателей 0 · кандидатов 10
calm pomodoro timer,0,,,free,🟢,2,,,,,,10,держателей 0 · кандидатов 10
aesthetic focus timer,0,,,free,🟢,2,,,,,,9,держателей 0 · кандидатов 9
focus timer,4400,,,weak,🟡,—,EQUAL,Focus Timer,10,2144,6000,10,Focus Timer · 10 яз · 2144 симв · 6000 юз
adhd timer,1300,,,weak,🟡,—,EQUAL,ADHD Timer,?,1732,8,10,ADHD Timer · ? яз · 1732 симв · 8 юз
noise generator,1300,,,weak,🟡,,EQUAL,Noise Generator,?,1482,398,10,"Noise Generator · ? яз · 1482 симв · 398 юз · сосед: White Noise Generator (1,000 юз, свой ключ)"
aesthetic pomodoro timer,880,,,weak,🟡,,EQUAL,Aesthetic Pomodoro Timer,?,1392,47,10,Aesthetic Pomodoro Timer · ? яз · 1392 симв · 47 юз
flow timer,720,,,weak,🟡,—,START,Flow Timer - Pomodoro,?,2427,6,10,Flow Timer - Pomodoro · ? яз · 2427 симв · 6 юз
focus sounds,720,,,weak,🟡,—,EQUAL,Focus Sounds,?,1335,16,9,Focus Sounds · ? яз · 1335 симв · 16 юз
pomodoro chrome extension,260,,,weak,🟡,,EQUAL,Pomodoro Chrome Extension,?,1433,50000,10,Pomodoro Chrome Extension · ? яз · 1433 симв · 50000 юз
floating timer,140,,,weak,🟡,—,EQUAL,Floating Timer,?,1949,8000,10,Floating Timer · ? яз · 1949 симв · 8000 юз
deep work timer,70,,,weak,🟡,,START,Deep Work Timer Pro,?,1579,4,10,Deep Work Timer Pro · ? яз · 1579 симв · 4 юз
simple timer,2900,19,,weak,🟡,—,EQUAL,Simple Timer,?,1849,179,10,Simple Timer · ? яз · 1849 симв · 179 юз
zen timer,90,13,-71,weak,🟡,,START,Zen Timer Focus,?,1382,13,10,Zen Timer Focus · ? яз · 1382 симв · 13 юз
mindful timer,70,4,+25,weak,🟡,,EQUAL,Mindful Timer,?,1932,5,10,Mindful Timer · ? яз · 1932 симв · 5 юз
focus sound,0,,,weak,🟡,,EQUAL,Focus Sounds,?,1335,16,9,Focus Sounds · ? яз · 1335 симв · 16 юз
visual timer,22200,,,occupied-weak,🟠,—,EQUAL,Visual Timer,54,2373,883,10,Visual Timer · 54 яз · 2373 симв · 883 юз
focus music,18100,,,occupied-weak,🟠,,EQUAL,Focus Music,52,4316,291,10,Focus Music · 52 яз · 4316 симв · 291 юз
aesthetic timer,2900,,,occupied-weak,🟠,4,EQUAL,Aesthetic Timer,52,4244,388,9,Aesthetic Timer · 52 яз · 4244 симв · 388 юз
minimalist timer,590,,,occupied-weak,🟠,2,EQUAL,Minimalist Timer,53,4783,110,10,Minimalist Timer · 53 яз · 4783 симв · 110 юз
study timer,5400,,,occupied,🔴,—,EQUAL,Study Timer,52,4590,6000,10,Study Timer · 52 яз · 4590 симв · 6000 юз
