date,visit_paid,visit_organic,install_paid,install_organic,install_RU,install_nonRU
2026-07-28,6,4,4,1,2,3
2026-07-29,34,1,3,0,3,0
2026-07-30,52,6,6,2,7,1
2026-07-31,40,3,5,0,5,0
2026-08-01,21,2,2,0,2,0
2026-08-02,40,3,3,2,2,3
2026-08-03,53,3,4,2,5,1
2026-08-04,75,4,9,0,8,1
2026-08-05,55,2,8,1,7,2
2026-08-06,71,5,3,1,3,1
2026-08-07,62,5,7,0,4,3
2026-08-08,56,4,8,1,9,0
2026-08-09,40,2,5,0,4,1
2026-08-10,22,5,3,2,2,3
2026-08-11,78,4,11,0,8,3
2026-08-12,62,3,6,0,4,2
2026-08-13,51,4,5,0,5,0
2026-08-14,45,1,4,0,4,0
2026-08-15,39,2,4,0,3,1
2026-08-16,37,1,4,0,4,0
2026-08-17,14,2,0,1,0,1
2026-08-18,0,1,0,0,0,0
2026-08-19,0,2,0,0,0,0
2026-08-20,0,5,0,1,0,1
2026-08-21,0,4,0,0,0,0
2026-08-22,0,3,0,1,0,1
2026-08-23,0,6,0,0,0,0
2026-08-24,33,4,7,0,7,0
2026-08-25,45,5,3,1,2,2
2026-08-26,49,2,9,0,9,0
2026-08-27,31,2,5,1,5,1
2026-08-28,24,2,2,1,2,1
2026-08-29,44,2,3,1,4,0
2026-08-30,23,3,3,0,3,0
2026-08-31,3,7,1,0,1,0
2026-09-01,0,9,0,2,0,2
2026-09-02,0,8,0,2,1,1
2026-09-03,0,3,0,0,0,0
2026-09-04,0,4,0,0,0,0
2026-09-05,0,9,0,1,0,1
2026-09-06,0,3,0,0,0,0
2026-09-07,0,2,0,1,0,1
2026-09-08,0,4,0,0,0,0
2026-09-09,0,6,1,0,1,0
2026-09-10,0,8,0,0,0,0
2026-09-11,0,5,0,1,0,1
2026-09-12,0,4,0,0,0,0
