kluch,god_2022,god_2023,god_2024,god_2025,za_god,za_3_goda
white noise,553750,302000,287250,273500,-5%,-51%
rain sounds,98625,101875,101875,85000,-17%,-14%
lofi,76125,58667,60000,58500,-3%,-23%
green noise,55717,89958,62250,40308,-35%,-28%
pink noise,47108,38283,35683,34567,-3%,-27%
lofi music,35908,21650,22967,26942,+17%,-25%
focus music,15517,13717,14608,18192,+25%,+17%
ambient music,12425,9092,11017,13625,+24%,+10%
nature sounds,11142,9933,10150,8750,-14%,-21%
soundscape,7000,7375,7875,7550,-4%,+8%
chillhop,7683,5908,5367,4950,-8%,-36%
ambient sound,4133,4200,7225,3942,-45%,-5%
ambient sounds,4133,4200,7225,3942,-45%,-5%
lofi study music,1858,1775,2600,3392,+30%,+83%
ambient noise,3133,2975,3108,2567,-17%,-18%
drone music,1642,1600,2133,2250,+5%,+37%
brown noise for studying,292,346,1103,1767,+60%,+505%
ambient mixer,1683,1225,1115,1015,-9%,-40%
sound masking,1225,1125,1250,975,-22%,-20%
lofi radio,2517,1090,1005,928,-8%,-63%
drone sounds,435,683,579,664,+15%,+53%
focus sounds,507,468,648,644,-1%,+27%
background ambience,518,520,546,582,+7%,+12%
ambient music for studying,158,111,215,543,+153%,+244%
ambient study music,158,111,215,543,+153%,+244%
ambient noise generator,401,376,336,513,+53%,+28%
generative music,410,330,225,417,+85%,+2%
ambient sounds app,53,48,80,407,+409%,+668%
atmospheric sounds,535,478,505,401,-21%,-25%
soundscapes app,145,184,337,317,-6%,+119%
ambient sound generator,70,59,57,302,+430%,+331%
ambient soundscape,115,102,107,280,+162%,+143%
ambient music for work,64,67,201,269,+34%,+320%
noise masking,94,69,110,78,-29%,-17%
ambient background noise,54,53,52,64,+23%,+19%
ambient focus music,39,25,26,38,+46%,-3%
generative audio,49,62,37,28,-24%,-43%
ambient sounds for focus,0,0,36,24,-33%,
soundscape generator,38,36,52,22,-58%,-42%
sound masking app,18,15,17,14,-18%,-22%
generative ambient,15,17,16,13,-19%,-13%
