kluch,god_2022,god_2023,god_2024,god_2025,za_god,za_3_goda
pomodoro timer,80000,86000,89000,92458,+4%,+16%
brown noise,167000,111833,101875,91250,-10%,-45%
binaural beats,46500,45917,50000,40150,-20%,-14%
study music,31808,22875,22533,28450,+26%,-11%
focus music,15517,13717,14608,18192,+25%,+17%
adhd music,4583,4450,5000,4833,-3%,+5%
work music,5333,4750,4375,4333,-1%,-19%
focus timer,2608,2458,2650,4217,+59%,+62%
white noise for studying,1525,1925,3075,3125,+2%,+105%
brown noise no ads,339,1074,2333,2775,+19%,+719%
visual timer adhd,231,248,518,2148,+315%,+830%
brown noise for studying,292,346,1103,1767,+60%,+505%
adhd helper,2567,2400,2567,1725,-33%,-33%
deep focus music,1243,973,1132,1582,+40%,+27%
adhd timer,920,972,1055,1275,+21%,+39%
brown noise generator,852,558,1081,1060,-2%,+24%
coffee shop sounds,913,904,878,873,-1%,-4%
focus sounds,507,468,648,644,-1%,+27%
minimalist timer,122,119,269,582,+116%,+377%
