kluch,obem,avgust,trend,konkurenciya,mesyacy
white noise machine,74000,49500,-32%,HIGH,90500 90500 90500 110000 74000 60500 60500 49500 60500 60500 74000 49500
noise app,27100,49500,+160%,LOW,18100 9900 22200 22200 12100 18100 27100 27100 40500 40500 40500 49500
sound machine,27100,27100,-12%,HIGH,27100 27100 33100 33100 27100 27100 27100 27100 27100 22200 27100 27100
adhd body double,9900,9900,+0%,LOW,9900 9900 9900 8100 12100 9900 9900 9900 8100 9900 9900 9900
study buddy,9900,12100,+41%,MEDIUM,8100 8100 9900 9900 9900 8100 8100 8100 8100 6600 18100 12100
adhd planner,8100,8100,-28%,HIGH,8100 8100 9900 12100 12100 6600 8100 6600 5400 5400 5400 8100
noise maker,8100,6600,-29%,HIGH,8100 9900 8100 12100 9900 8100 8100 8100 9900 6600 5400 6600
noise machine,6600,6600,-12%,HIGH,5400 6600 6600 8100 6600 6600 6600 5400 5400 4400 5400 6600
study app,6600,6600,-53%,MEDIUM,9900 9900 8100 8100 8100 6600 8100 8100 8100 3600 2900 6600
focus app,5400,3600,-29%,LOW,4400 3600 2400 2900 27100 5400 2900 2900 2900 1900 1900 3600
focus apps,5400,3600,-29%,LOW,4400 3600 2400 2900 27100 5400 2900 2900 2900 1900 1900 3600
study tool,4400,2400,-75%,LOW,5400 6600 8100 5400 3600 4400 4400 4400 4400 1600 1000 2400
brown noise machine,3600,3600,-5%,HIGH,2900 2900 3600 3600 4400 3600 4400 2900 2900 2400 2900 3600
study helper,2900,1900,-67%,LOW,3600 4400 2900 4400 2400 2900 2900 2900 2900 1000 720 1900
pomodoro app,2900,1900,-20%,LOW,3600 2400 2400 1900 3600 3600 2400 4400 3600 2400 2400 1900
adhd app,2400,1900,-36%,MEDIUM,3600 2900 2400 2900 2900 2400 2400 2400 2900 1900 1900 1900
adhd apps,2400,1900,-36%,MEDIUM,3600 2900 2400 2900 2900 2400 2400 2400 2900 1900 1900 1900
adhd helper,1900,1600,-42%,MEDIUM,1900 2400 2400 1900 1600 1300 2400 1600 1300 1000 1300 1600
adhd organizer,1300,1300,-8%,MEDIUM,1300 1300 1300 1300 1600 1000 1300 1300 1300 1000 1300 1300
adhd tool,1000,720,-58%,HIGH,2900 1300 1000 1300 1000 880 1000 880 880 720 720 720
adhd tools,1000,720,-58%,HIGH,2900 1300 1000 1300 1000 880 1000 880 880 720 720 720
body doubling app,880,720,-10%,MEDIUM,1000 880 880 720 880 720 880 880 880 880 880 720
brown noise app,880,320,-87%,MEDIUM,4400 1900 480 480 880 390 390 390 390 260 320 320
focus helper,480,720,+3%,HIGH,590 480 390 320 390 480 480 480 320 390 390 720
background noise generator,480,590,+14%,LOW,480 590 590 320 590 260 320 720 390 720 590 590
adhd to do list,390,390,-10%,HIGH,590 390 320 320 480 260 390 480 390 390 390 390
concentration timer,390,320,-24%,LOW,390 480 390 390 390 480 480 480 390 320 320 320
