kluch,obem,avgust,trend,mesyacy
binaural beats,40500,33100,-24%,49500 40500 40500 40500 40500 40500 49500 40500 40500 33100 33100 33100
study music,27100,22200,-59%,40500 40500 27100 22200 33100 33100 40500 33100 27100 12100 9900 22200
brain fm,14800,12100,-18%,14800 14800 14800 14800 14800 14800 18100 14800 14800 12100 12100 12100
brainwaves,12100,9900,-28%,12100 12100 12100 9900 12100 12100 12100 12100 9900 8100 8100 9900
delta waves,9900,8100,-34%,12100 14800 9900 9900 9900 9900 9900 9900 8100 8100 8100 8100
alpha waves,6600,4400,-46%,8100 9900 6600 6600 6600 6600 6600 6600 6600 4400 4400 4400
gamma waves,5400,1900,-78%,9900 9900 6600 5400 5400 5400 6600 6600 5400 2400 1600 1900
gamma brainwave,5400,1900,-78%,9900 9900 6600 5400 5400 5400 6600 6600 5400 2400 1600 1900
binaural beats for focus,4400,3600,-30%,5400 5400 3600 4400 6600 5400 5400 5400 5400 3600 2900 3600
music for concentration,4400,2900,-50%,6600 5400 4400 3600 4400 4400 4400 4400 4400 2900 2400 2900
binaural beats for studying,1600,880,-65%,2900 2900 1600 1300 1600 1900 1900 1300 1300 1000 720 880
isochronic tones,1600,1000,-34%,2400 1900 1600 1600 1900 1900 1600 1600 1600 1300 1600 1000
40 hz binaural beats,1600,1000,-8%,1300 1300 1000 1000 3600 2400 1600 1600 1600 1300 1000 1000
binaural beats app,1300,1300,-13%,1600 1600 1300 1300 1300 1300 1600 1600 1600 1300 1300 1300
brainwave entrainment,1300,1300,-8%,1600 1300 1000 1000 1300 1000 1000 1300 1300 1000 1300 1300
alpha waves music,1300,880,-45%,1900 1600 1300 1300 1600 1000 1000 1000 1000 880 880 880
binaural beats for adhd,1000,1000,+42%,880 720 720 1000 1000 1000 1300 1000 1000 1000 1300 1000
adhd binaural beats,1000,1000,+42%,880 720 720 1000 1000 1000 1300 1000 1000 1000 1300 1000
binaural beats generator,880,880,-5%,880 720 880 880 880 880 880 880 880 590 880 880
white noise for focus,720,590,-18%,720 720 590 590 720 1000 880 880 880 480 590 590
focus frequency,590,480,-38%,720 720 590 480 590 590 590 590 480 390 390 480
music that helps you focus,590,480,-57%,1000 880 720 590 720 720 720 720 590 320 320 480
gamma waves music,320,170,-79%,1000 720 320 170 260 210 210 210 260 140 110 170
adhd frequency,320,170,-62%,390 390 480 390 390 390 320 260 260 170 140 170
frequency for focus,260,170,-39%,320 320 260 260 320 320 260 320 260 210 170 170
40 hz gamma,170,210,+74%,140 110 90 90 140 170 210 210 170 210 170 210
hz for focus,140,110,-52%,260 210 170 110 170 170 140 140 110 110 90 110
brain fm alternative,140,140,-13%,140 110 140 140 170 210 210 170 140 110 90 140
adhd brain waves,90,50,-52%,90 110 110 140 70 110 90 90 70 50 50 50
brain waves for focus,70,50,-48%,70 110 70 70 70 70 90 70 70 40 40 50
concentration frequency,70,50,-48%,90 90 70 70 70 70 90 70 70 30 50 50
focus music app,70,50,-29%,70 50 50 70 70 140 70 70 70 30 40 50
noise for concentration,70,30,-64%,110 90 50 70 90 70 70 70 30 30 30 30
sounds that help you focus,70,40,-59%,110 110 50 70 70 110 70 70 50 40 30 40
alpha wave generator,40,110,+238%,40 20 20 20 30 20 30 30 20 20 140 110
sound for focus,40,30,-46%,50 50 30 40 40 50 50 30 30 20 20 30
sound frequency for focus,20,10,-60%,40 30 30 20 30 20 20 40 30 20 10 10
endel alternative,20,10,-33%,10 20 30 20 30 10 20 20 20 20 10 10
neuroacoustic music,10,10,+0%,10 10 10 10 10 10 10 10 10 10 10 10
dopamine music adhd,10,10,+200%,0 0 10 10 10 0 10 10 10 10 10 10
theta waves,,,,
brown noise dopamine,,,,
