kluch,obem,avgust,trend,mesyacy
productivity software,18100,4400,-88%,27100 74000 22200 18100 18100 14800 12100 8100 6600 5400 4400 4400
chrome extension for productivity,14800,9900,-20%,14800 720 5400 22200 8100 27100 18100 60500 6600 4400 2400 9900
time management tool,14800,4400,-86%,49500 22200 18100 12100 14800 12100 12100 9900 9900 4400 3600 4400
productivity app,12100,5400,-44%,18100 14800 12100 12100 12100 12100 18100 18100 12100 9900 9900 5400
productivity apps,12100,5400,-44%,18100 14800 12100 12100 12100 12100 18100 18100 12100 9900 9900 5400
productivity tools,12100,1300,-96%,90500 12100 5400 3600 4400 2900 3600 2900 2400 1900 1300 1300
productivity tool,12100,1300,-96%,90500 12100 5400 3600 4400 2900 3600 2900 2400 1900 1300 1300
productivity chrome extension,8100,9900,+1684%,590 110 90 2400 5400 1900 33100 33100 4400 590 3600 9900
time tracker,8100,8100,-25%,12100 8100 8100 8100 8100 8100 8100 8100 8100 6600 6600 8100
time tracking app,5400,2900,-28%,8100 6600 4400 8100 5400 4400 5400 4400 4400 5400 5400 2900
work music,4400,4400,-33%,5400 5400 4400 3600 5400 4400 4400 4400 4400 2900 2900 4400
productivity hacks,3600,390,-92%,1300 18100 5400 3600 3600 3600 6600 1000 590 1300 320 390
work timer,3600,4400,-28%,5400 4400 4400 3600 4400 3600 3600 4400 3600 2900 2900 4400
productivity extension,2900,20,+4447%,320 50 30 40 50 20 70 30 18100 18100 70 20
productivity planner,2900,1600,-56%,5400 2400 2400 4400 5400 2900 1900 1900 1600 1300 1600 1600
focus mode,2900,2400,-24%,2900 2900 2400 5400 5400 1900 1900 1900 1900 1900 1900 2400
productivity timer,1300,1000,-29%,1300 1300 1300 1600 1600 1300 1600 1900 880 880 880 1000
time management app,1300,590,-62%,2900 1600 1600 1900 1900 1000 1000 880 1000 1000 720 590
productivity system,1000,320,-86%,2900 3600 480 880 2400 720 590 1000 590 320 320 320
coffee shop sounds,880,1000,-6%,1000 880 880 720 880 880 880 880 880 720 880 1000
coffee shop noise,880,1000,-6%,1000 880 880 720 880 880 880 880 880 720 880 1000
task timer,720,480,-42%,1000 1000 480 480 590 480 1000 1000 590 480 480 480
productivity music,590,590,-28%,720 720 590 480 720 720 720 720 720 480 390 590
productivity tracker,480,390,-30%,880 390 390 390 590 480 720 390 390 390 390 390
productivity apps for adhd,480,480,-5%,480 390 590 480 480 480 880 210 390 590 320 480
background music for work,480,390,-20%,590 480 390 390 480 480 480 590 480 390 390 390
productivity booster,320,320,-26%,590 390 320 260 320 260 320 390 390 320 320 320
work timer app,210,140,-54%,720 140 110 110 170 140 260 170 140 140 170 140
adhd productivity,170,140,-44%,260 210 170 210 170 170 170 170 170 110 110 140
office noise,170,260,+11%,170 210 170 140 170 170 210 210 170 140 210 260
work productivity app,140,40,-71%,320 140 170 90 90 110 210 170 90 70 70 40
best productivity app for adhd,90,140,+121%,70 70 50 70 90 40 70 50 70 110 170 140
adhd productivity hacks,70,210,+215%,30 50 50 50 50 50 70 50 70 90 110 210
productivity widget,50,140,+85%,40 50 40 40 70 40 70 30 50 50 50 140
background noise for work,50,50,-18%,50 70 50 40 50 50 50 50 30 50 40 50
productivity tips for adhd,30,30,+25%,20 20 40 20 30 20 30 30 30 30 40 30
flow state app,30,20,+29%,30 20 20 30 30 30 50 50 40 40 30 20
focus mode chrome,30,30,-18%,50 40 20 20 30 30 30 30 20 30 30 30
productivity sounds,30,30,-13%,30 30 20 20 50 40 30 30 30 10 30 30
productivity for adhd,20,10,-50%,20 30 30 20 30 10 20 20 20 20 10 10
adhd productivity system,20,40,+17%,30 10 20 10 10 10 30 30 20 20 10 40
deep work app,20,10,-17%,30 20 10 20 40 20 20 20 20 20 20 10
background noise for focus,20,20,-17%,20 30 10 20 20 20 30 30 20 20 10 20
cafe sounds for working,,,,
coworking sounds,,,,
ambient noise for work,,,,
