kluch,obem,avgust,trend,mesyacy
study music,27100,22200,-59%,40500 40500 27100 22200 33100 33100 40500 33100 27100 12100 9900 22200
music for studying,27100,22200,-59%,40500 40500 27100 22200 33100 33100 40500 33100 27100 12100 9900 22200
focus music,18100,18100,-32%,22200 22200 18100 14800 18100 18100 22200 22200 18100 12100 12100 18100
work music,4400,4400,-33%,5400 5400 4400 3600 5400 4400 4400 4400 4400 2900 2900 4400
concentration music,4400,2900,-50%,6600 5400 4400 3600 4400 4400 4400 4400 4400 2900 2400 2900
music for concentration,4400,2900,-50%,6600 5400 4400 3600 4400 4400 4400 4400 4400 2900 2400 2900
white noise for studying,2900,1900,-56%,4400 4400 3600 2900 3600 3600 3600 3600 2400 1600 1900 1900
brown noise for studying,1900,2400,+4%,1900 1900 1600 1600 1600 1600 1900 1600 1900 1600 1600 2400
deep focus music,1600,2400,-16%,1900 1900 1300 1300 1600 1600 1900 1600 1600 1000 880 2400
study sounds,1300,1000,-61%,2400 1900 1600 1300 1300 1600 1600 1600 1300 720 590 1000
sounds for studying,1300,1000,-61%,2400 1900 1600 1300 1300 1600 1600 1600 1300 720 590 1000
coffee shop ambience,1300,1000,-52%,1900 1600 1300 880 1600 1600 1300 1300 1000 720 590 1000
cafe ambience,1300,1000,-52%,1900 1600 1300 880 1600 1600 1300 1300 1000 720 590 1000
brown noise generator,1000,880,-27%,1000 1300 1300 1300 1300 1000 1000 1000 880 880 880 880
noise generator,1000,1000,-26%,1300 1300 1300 1300 1300 1000 1300 1300 1000 1000 880 1000
coffee shop sounds,880,1000,-6%,1000 880 880 720 880 880 880 880 880 720 880 1000
cafe sounds,880,1000,-6%,1000 880 880 720 880 880 880 880 880 720 880 1000
focus sounds,720,480,-38%,720 720 720 590 720 720 880 720 590 480 390 480
coffitivity,720,480,-47%,1300 1300 880 720 720 590 590 720 390 880 480 480
rain sounds for studying,720,480,-60%,880 880 880 720 720 720 720 720 590 320 260 480
background music for work,480,390,-20%,590 480 390 390 480 480 480 590 480 390 390 390
focus noise,320,260,-43%,480 480 320 320 390 320 320 320 320 260 210 260
ambient sound generator,320,590,+564%,50 170 110 40 90 50 50 390 480 880 720 590
background noise for studying,260,210,-40%,390 320 260 260 320 320 320 260 210 110 260 210
study ambience,260,210,-57%,320 260 320 210 320 320 320 260 210 90 90 210
study background noise,260,210,-40%,390 320 260 260 320 320 320 260 210 110 260 210
library ambience,170,170,-27%,170 140 170 140 260 210 170 170 140 110 70 170
office noise,170,260,+11%,170 210 170 140 170 170 210 210 170 140 210 260
concentration sounds,170,140,-42%,260 260 210 170 170 170 260 210 170 140 140 140
sounds for concentration,170,140,-42%,260 260 210 170 170 170 260 210 170 140 140 140
noise for studying,140,110,-56%,260 170 140 170 170 170 140 140 140 70 70 110
office ambience,140,110,-21%,110 170 140 140 140 140 140 170 210 110 110 110
restaurant ambience,140,90,-18%,140 110 140 110 140 170 170 140 140 90 140 90
noise for focus,110,70,-50%,170 140 110 110 140 110 110 110 90 70 70 70
deep work music,110,170,+110%,90 70 40 70 90 90 110 90 110 110 140 170
work sounds,90,110,-12%,110 110 110 70 110 140 110 90 90 90 90 110
sounds for working,90,110,-12%,110 110 110 70 110 140 110 90 90 90 90 110
background noise for work,50,50,-18%,50 70 50 40 50 50 50 50 30 50 40 50
sounds for focus,50,40,-15%,50 40 40 70 50 70 70 50 40 50 20 40
nature sounds for focus,40,140,+42%,30 50 40 30 50 50 40 30 20 10 20 140
work ambience,30,20,+0%,30 30 20 30 40 40 30 40 30 30 30 20
focus background noise,20,20,-20%,20 20 10 20 10 20 20 20 20 10 10 20
ambient noise for focus,20,30,-20%,50 20 30 10 10 30 10 10 10 20 30 30
study with me sounds,10,10,-33%,10 10 10 10 10 0 10 10 10 0 10 10
noise for working,10,10,-40%,10 20 20 10 10 10 20 20 10 10 10 10
ambient sound for focus,10,70,+200%,10 10 10 10 10 10 10 10 10 10 10 70
study noise generator,10,10,-67%,10 10 10 10 10 0 10 10 10 0 0 10
work from home sounds,,,,
focus sound generator,,,,
work noise generator,,,,
