kluch,god_2022,god_2023,god_2024,god_2025,za_god,za_3_goda
white noise,553750,302000,287250,273500,-5%,-51%
rain sounds,98625,101875,101875,85000,-17%,-14%
lofi,76125,58667,60000,58500,-3%,-23%
green noise,55717,89958,62250,40308,-35%,-28%
pink noise,47108,38283,35683,34567,-3%,-27%
lofi music,35908,21650,22967,26942,+17%,-25%
focus music,15517,13717,14608,18192,+25%,+17%
focus music,15517,13717,14608,18192,+25%,+17%
nature sounds,11142,9933,10150,8750,-14%,-21%
white noise vs brown noise,19092,9942,9667,8175,-15%,-57%
soundscape,7000,7375,7875,7550,-4%,+8%
chillhop,7683,5908,5367,4950,-8%,-36%
ambient sounds,4133,4200,7225,3942,-45%,-5%
lofi study music,1858,1775,2600,3392,+30%,+83%
white noise for studying,1525,1925,3075,3125,+2%,+105%
white noise studying,1525,1925,3075,3125,+2%,+105%
ambient noise,3133,2975,3108,2567,-17%,-18%
drone music,1642,1600,2133,2250,+5%,+37%
brown noise for studying,292,346,1103,1767,+60%,+505%
brown noise for studying,292,346,1103,1767,+60%,+505%
study noise,1180,1232,1530,1409,-8%,+19%
ambient mixer,1683,1225,1115,1015,-9%,-40%
sound masking,1225,1125,1250,975,-22%,-20%
lofi radio,2517,1090,1005,928,-8%,-63%
brown noise for adhd,343,182,288,730,+153%,+113%
white noise for focus,168,177,433,720,+66%,+329%
drone sounds,435,683,579,664,+15%,+53%
focus sounds,507,468,648,644,-1%,+27%
adhd white noise,549,494,638,586,-8%,+7%
white noise for adhd,549,494,638,586,-8%,+7%
background ambience,518,520,546,582,+7%,+12%
ambient music for studying,158,111,215,543,+153%,+244%
ambient study music,158,111,215,543,+153%,+244%
best noise for studying,380,501,624,515,-17%,+36%
ambient noise generator,401,376,336,513,+53%,+28%
brown noise for focus,156,128,200,496,+148%,+218%
generative music,410,330,225,417,+85%,+2%
ambient sounds app,53,48,80,407,+409%,+668%
atmospheric sounds,535,478,505,401,-21%,-25%
adhd sounds,176,252,503,387,-23%,+120%
white noise office,418,404,425,340,-20%,-19%
office white noise,418,404,425,340,-20%,-19%
white noise for work,188,250,354,323,-9%,+72%
white noise for concentration,226,221,306,322,+5%,+42%
soundscapes app,145,184,337,317,-6%,+119%
ambient sound generator,70,59,57,302,+430%,+331%
ambient soundscape,115,102,107,280,+162%,+143%
ambient music for work,64,67,201,269,+34%,+320%
adhd noise,194,212,347,212,-39%,+9%
adhd sound therapy,142,159,229,167,-27%,+18%
brown noise for concentration,103,68,72,142,+97%,+38%
adhd brown noise,268,150,168,115,-32%,-57%
sounds for adhd,84,56,148,98,-34%,+17%
noise masking,94,69,110,78,-29%,-17%
does white noise help you study,73,91,69,77,+12%,+5%
ambient background noise,54,53,52,64,+23%,+19%
brown noise for work,36,30,28,50,+79%,+39%
work noise,32,37,40,40,+0%,+25%
adhd focus noise,14,23,40,38,-5%,+171%
ambient focus music,39,25,26,38,+46%,-3%
generative audio,49,62,37,28,-24%,-43%
ambient sounds for focus,0,0,36,24,-33%,
soundscape generator,38,36,52,22,-58%,-42%
white noise for homework,22,69,35,20,-43%,-9%
noise for productivity,29,36,25,17,-32%,-41%
adhd study sounds,11,12,20,14,-30%,+27%
sound masking app,18,15,17,14,-18%,-22%
brown noise for productivity,11,10,11,13,+18%,+18%
noise for work,13,18,15,13,-13%,+0%
generative ambient,15,17,16,13,-19%,-13%
study sounds app,10,9,8,10,+25%,+0%
noise while studying,8,9,9,8,-11%,+0%
homework noise,0,0,8,6,-25%,
sounds while studying,7,5,8,3,-62%,-57%
adhd work sounds,,,,,,
brown noise for homework,,,,,,
focus noise app,,,,,,
