kluch,last,god,tri
site blocker,15500,+10%,+69%
productivity extension chrome,15018,+227%,+6726%
website blocker,5067,-9%,+31%
noise cancelling app,746,-2%,+14%
focus aid,694,-28%,-48%
sound therapy app,402,+219%,+272%
block distractions app,238,+148%,+495%
distraction free browser,201,+1575%,+1727%
brain training for focus,193,+5%,+278%
concentration app,132,+59%,+28%
focus mode chrome extension,122,+578%,+1120%
distraction blocker,80,-14%,-9%
calm down app,55,+15%,-7%
calming sounds app,52,-51%,-37%
study aid app,40,+233%,+400%
noise cancelling extension,32,-3%,+52%
hyperfocus app,29,+164%,+142%
soundscape app for focus,25,+212%,
self regulation app,22,+69%,-4%
anti distraction app,21,-16%,+31%
decompress app,12,+0%,-20%
focus mode extension,12,-14%,+20%
attention span app,11,,
attention training app,11,-21%,+38%
brain fog app,10,+0%,+11%
attention trainer,10,+0%,+0%
focus training app,9,-65%,-10%
relaxation sounds app,8,-62%,-27%
sensory overload app,5,,
app for brain fog,0,,
brain fog tool,0,,
app for sensory overload,0,,
sensory overload tool,0,,
overstimulation app,0,,
app for overstimulation,0,,
hyperfocus timer,0,,
sensory regulation tool,0,,
sensory break app,0,,
quiet browsing,0,,
audio therapy app,0,,
