query,position,cards_in_serp
"minimalist timer",2,10
"minimal timer",2,10
"calm timer",2,10
"clean timer",2,10
"quiet timer",1,10
"gentle timer",1,10
"aesthetic timer",4,9
"cute timer",7,10
"concentration timer",—,10
"silent timer",5,10
"brown noise timer",1,10
"brown noise",—,10
"brown noise no ads",1,10
"brown noise generator",9,10
"brown noise app",4,4
"brown noise for focus",8,10
"brown noise for studying",4,10
"pink noise",—,10
"white noise",—,10
"noise generator",—,10
"focus sounds",—,9
"noise timer",3,10
"sound timer",—,10
"focus timer",—,10
"study timer",—,10
"pomodoro timer",—,10
"visual timer adhd",5,10
"adhd timer",—,10
"focus music",—,10
"ambient noise",—,10
"timer with sound",—,10
"white noise for focus",—,10
"pink noise generator",8,10
